estacion_servicio,regular,premium,diesel
8775,19.97,22.47,
8831,20.69,21.76,21.7
26541,15.89,,19.09
3348,20.49,22.19,
3969,20.76,22.57,22.77
9539,21.85,23.27,22.99
9454,21.19,22.29,22.39
4035,20.59,23.19,21.99
2938,20.75,23.08,21.99
9216,19.29,21.59,21.29
9491,18.75,20,21
8930,19.5,22,20.75
9563,21.99,23.99,
7461,20.69,22.79,
8801,20.89,22.59,22.19
7920,21,24,22.2
8715,17.1,18.7,16.91
26904,19.59,21.64,
6293,19.23,21.28,20.65
2919,19.64,22.38,22.86
15694,19.9,21.85,20.2
14900,19.79,22.99,
11654,19.99,,22.2
9367,22.84,23.99,
24121,19.65,21.99,
9805,21.5,,22.95
22314,19.25,22,20.75
21828,19.99,22.31,21.11
12421,21.5,23.5,21.7
9496,20.99,,22.7
26092,19.89,22.09,21.59
26525,19.99,22.19,21.67
11549,21.39,22.95,21.95
7637,21.29,23.29,22.19
6489,20.39,21.99,
6855,21.2,23.4,22.75
11325,19.59,22.49,20.99
7861,20.99,,22.19
8796,18.59,20.99,21.29
8516,21.55,22.85,21.95
7734,18.44,17.21,19.99
9528,20.99,21.99,21.88
21172,20.89,22.68,22.31
8764,21,23,
7731,21.39,23.28,22.42
8699,20.99,22.99,22.09
8640,19.79,21.89,
6595,20.09,22.15,20.99
8462,18.57,20.49,20.39
6742,19.69,22.09,
6283,20.8,22.6,22.1
9858,20.78,22.25,22.25
6898,19.65,22.39,
9487,20.8,23.15,
6596,19.19,21.49,21.09
6300,19.65,21.7,20.83
6887,19.59,21.59,21.29
5373,20.09,22.99,21.79
9489,18.79,20.9,19.45
9665,18.39,19.69,
5898,20.99,22.99,
12767,20.39,22.59,
25514,19.99,21.89,20.99
13749,20.8,,21.6
5275,19.8,,
6608,16.95,18.99,20.79
5787,21.39,23.49,
6135,20.29,22.75,
13265,19.48,,20.98
24029,20.99,22.49,22.54
7012,19.59,21.79,20.89
7284,19.75,21.95,21.79
24024,18.55,21.79,20.17
6559,21.75,22.9,
5242,20.95,22.45,21.95
6358,20.7,22.44,
13814,21.7,,23.1
8138,22.25,24.28,23.75
7009,20.68,22.89,21.69
5215,18.95,21.6,20.5
6658,20.75,22.49,21.29
22163,19.5,20.73,16.81
9531,20.59,22.19,22.14
13407,20.19,22.9,21.7
6769,21.84,23.19,23.39
9702,19.89,21.99,21.59
6746,20.16,22.37,21.44
13432,21.75,23.25,23.3
6793,20.99,22.99,
12871,21.76,23.31,23.15
5063,21.99,23.35,23.2
7446,21.15,22.95,22.39
4515,21.03,23.99,22.39
13484,19.75,22.15,21.49
6082,20.48,22.68,21.98
6802,20.75,22.49,20.89
6796,20.25,22.16,21.59
6303,19.9,21.3,20.1
21437,19.99,22.99,
6881,20.89,22.99,22.29
5389,20.3,21.83,22.12
6795,20.39,22.39,
